date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:05	5484/5484	---MC-	200	added ('OK')	image/png	etag:%229fa73ed3ce9e724c222c10c458dc8ce3%22	https://framerusercontent.com/images/eVfNg8coYe9a8AuoDnJysMYmRKA.png	E:/Art/website/framerusercontent.com/images/eVfNg8coYe9a8AuoDnJysMYmRKA.png	(from https://functional-reassurance-910678.framer.app/)
23:52:05	6670/6670	---MC-	200	added ('OK')	image/png	etag:%221144349276310252a7ea9ff086396fab%22	https://framerusercontent.com/images/iz4h3ntR41OZ1kErJngv9PaLqCA.png?scale-down-to=1024	E:/Art/website/framerusercontent.com/images/iz4h3ntR41OZ1kErJngv9PaLqCAbf23.png	(from https://functional-reassurance-910678.framer.app/)
23:52:05	3520/3520	---MC-	200	added ('OK')	image/png	etag:%229b1cf67b77535ae52a545957cd56bedb%22	https://framerusercontent.com/images/EBfa5POs1K4jMkBsHh5aXcdqqA.png	E:/Art/website/framerusercontent.com/images/EBfa5POs1K4jMkBsHh5aXcdqqA.png	(from https://functional-reassurance-910678.framer.app/)
23:52:05	62953/62953	---MC-	200	added ('OK')	image/png	etag:%228f2c399ba9f5ece8eea12f6e20ced3c7%22	https://framerusercontent.com/images/xM9x8SIRiF3zLdnSPzRANbQLbo.png	E:/Art/website/framerusercontent.com/images/xM9x8SIRiF3zLdnSPzRANbQLbo.png	(from https://functional-reassurance-910678.framer.app/)
23:52:05	8863/8863	---MC-	200	added ('OK')	image/png	etag:%22478b1da3e996687dd4b3bae21af75d6e%22	https://framerusercontent.com/images/PYVGyR5NSMBM6cZ7XIndnkeLsXw.png	E:/Art/website/framerusercontent.com/images/PYVGyR5NSMBM6cZ7XIndnkeLsXw.png	(from https://functional-reassurance-910678.framer.app/)
23:52:06	2037539/2037539	---MC-	200	added ('OK')	image/png	etag:%2289b4c46924ba38a1ee0911aa22dd93e2%22	https://framerusercontent.com/images/Xn7ruL86gBTvOPdhlMpyXxQCQ.png	E:/Art/website/framerusercontent.com/images/Xn7ruL86gBTvOPdhlMpyXxQCQ.png	(from https://functional-reassurance-910678.framer.app/)
23:52:06	71073/71073	---M-Z	200	added ('OK')	text/html	etag:%22b77f7627e26083fdef9649780687e954%22	https://functional-reassurance-910678.framer.app/projects	E:/Art/website/functional-reassurance-910678.framer.app/projects.html	(from https://functional-reassurance-910678.framer.app/)
23:52:07	72246/72246	---M-Z	200	added ('OK')	text/html	etag:%2229eb8ef14630c166129845ab3c04cf24%22	https://functional-reassurance-910678.framer.app/ai-experiments	E:/Art/website/functional-reassurance-910678.framer.app/ai-experiments.html	(from https://functional-reassurance-910678.framer.app/)
23:52:07	974039/974039	---MC-	200	added ('OK')	image/png	etag:%22a8ab8206e28f4824150d41a9fd53f2d3%22	https://framerusercontent.com/images/zYlHgimYlGWkNO5MhHZvqbRfP80.png	E:/Art/website/framerusercontent.com/images/zYlHgimYlGWkNO5MhHZvqbRfP80.png	(from https://functional-reassurance-910678.framer.app/)
23:52:09	8441602/8441602	---MC-	200	added ('OK')	image/gif	etag:%2210d831ace0775cdda614523e4b6555ea%22	https://framerusercontent.com/images/ZqbQpmdcozasVuWLYkdYynIutw.gif	E:/Art/website/framerusercontent.com/images/ZqbQpmdcozasVuWLYkdYynIutw.gif	(from https://functional-reassurance-910678.framer.app/)
23:52:09	74949/74949	---MC-	200	added ('OK')	image/png	etag:%2228666d7dff639a4e552af6b62b1eabb1%22	https://framerusercontent.com/images/DWvqNdjv0MCVjxEX52fyVZtRfDY.png	E:/Art/website/framerusercontent.com/images/DWvqNdjv0MCVjxEX52fyVZtRfDY.png	(from https://functional-reassurance-910678.framer.app/)
23:52:09	856445/856445	---MC-	200	added ('OK')	image/png	etag:%2295e85cee65e6caddc9eff4510cefc745%22	https://framerusercontent.com/images/VzeyzNKHcPf3x7FQEOLyhFi5DXo.png	E:/Art/website/framerusercontent.com/images/VzeyzNKHcPf3x7FQEOLyhFi5DXo.png	(from https://functional-reassurance-910678.framer.app/)
23:52:09	12684031/12684031	---MC-	200	added ('OK')	image/gif	etag:%228fad1ae03a049e99aa7745549628735a%22	https://framerusercontent.com/images/xihHssLhWWJyhr3TDFKunbksdc.gif	E:/Art/website/framerusercontent.com/images/xihHssLhWWJyhr3TDFKunbksdc.gif	(from https://functional-reassurance-910678.framer.app/)
23:52:09	934124/934124	---MC-	200	added ('OK')	image/png	etag:%22ba18976e3d7e9c9d84aaf4dc3e73f952%22	https://framerusercontent.com/images/eMZ9tEoVSg9jxUCHAj4BK3rpI.png	E:/Art/website/framerusercontent.com/images/eMZ9tEoVSg9jxUCHAj4BK3rpI.png	(from https://functional-reassurance-910678.framer.app/)
23:52:10	1257995/1257995	---MC-	200	added ('OK')	image/png	etag:%228908bb083c54092797f1a162d6299659%22	https://framerusercontent.com/images/v41iH4NOYZOkXG3YTXO2FklgLg.png	E:/Art/website/framerusercontent.com/images/v41iH4NOYZOkXG3YTXO2FklgLg.png	(from https://functional-reassurance-910678.framer.app/)
23:52:10	253668/253668	---MC-	200	added ('OK')	image/jpeg	etag:%22eb878d828bb8d1c703b11635407922ab%22	https://framerusercontent.com/images/4XsyRMlfAcuSeICxe0KYYxUc.jpg?scale-down-to=1024	E:/Art/website/framerusercontent.com/images/4XsyRMlfAcuSeICxe0KYYxUcbf23.jpg	(from https://functional-reassurance-910678.framer.app/)
23:52:10	3055/3055	---MC-	200	added ('OK')	image/png	etag:%2208c25f70f1302ebf29f9e97bc4ecc123%22	https://framerusercontent.com/images/EHYKCszknUL4FpxoMUZnlpZpoLY.png	E:/Art/website/framerusercontent.com/images/EHYKCszknUL4FpxoMUZnlpZpoLY.png	(from https://functional-reassurance-910678.framer.app/)
23:52:12	3634/3634	---MC-	200	added ('OK')	image/png	etag:%221d2e775249b91f243e6ee66f491e2dee%22	https://framerusercontent.com/images/5FK0PNimFOhYh9OSkQLdg6elYSY.png	E:/Art/website/framerusercontent.com/images/5FK0PNimFOhYh9OSkQLdg6elYSY.png	(from https://functional-reassurance-910678.framer.app/ai-experiments)
23:52:12	772517/772517	---MC-	200	added ('OK')	image/png	etag:%2298aea4001bd512036144aedd724cd9b8%22	https://framerusercontent.com/images/Qm8k1bQFrPFCbbyr7dSxLLLffU.png	E:/Art/website/framerusercontent.com/images/Qm8k1bQFrPFCbbyr7dSxLLLffU.png	(from https://functional-reassurance-910678.framer.app/projects)
23:52:12	2961252/2961252	---MC-	200	added ('OK')	image/gif	etag:%224adb00a1b7c7028e5e52f569d1e5818c%22	https://framerusercontent.com/images/5TWAUgikpbPC2ANWpXrApBgrmc.gif	E:/Art/website/framerusercontent.com/images/5TWAUgikpbPC2ANWpXrApBgrmc.gif	(from https://functional-reassurance-910678.framer.app/)
23:52:12	12285963/12285963	---MC-	200	added ('OK')	image/gif	etag:%2223ce94dc991fa922f2eea5c021ee4a8a%22	https://framerusercontent.com/images/IafZ9ij9s3Qq0tIiWL7x7DiWq2E.gif	E:/Art/website/framerusercontent.com/images/IafZ9ij9s3Qq0tIiWL7x7DiWq2E.gif	(from https://functional-reassurance-910678.framer.app/)
23:52:13	15995/15995	---MC-	200	added ('OK')	image/png	etag:%223c9ffe91aec1e8f056d8330828135a82%22	https://framerusercontent.com/images/dtYWm3uOaqTQYFKsoQ6dCBByzQU.png?scale-down-to=1024	E:/Art/website/framerusercontent.com/images/dtYWm3uOaqTQYFKsoQ6dCBByzQUbf23.png	(from https://functional-reassurance-910678.framer.app/ai-experiments)
23:52:13	3898704/3898704	---MC-	200	added ('OK')	image/gif	etag:%22fd584b38a02a7a039cdc4b41db081167%22	https://framerusercontent.com/images/5WT1ip7i8jNV1BuJSEhVNyjJCYk.gif	E:/Art/website/framerusercontent.com/images/5WT1ip7i8jNV1BuJSEhVNyjJCYk.gif	(from https://functional-reassurance-910678.framer.app/ai-experiments)
23:52:14	8679995/8679995	---MC-	200	added ('OK')	image/gif	etag:%22c09b8420dc081a89f40792da7acdbe62%22	https://framerusercontent.com/images/kTCUrtsw0E2x6Ji1Jn9Pjztpc.gif	E:/Art/website/framerusercontent.com/images/kTCUrtsw0E2x6Ji1Jn9Pjztpc.gif	(from https://functional-reassurance-910678.framer.app/ai-experiments)
